drift,unbalance,type,alg,mean,std
sine_P(y_x),1,sudden,WEOB1,69.62849768942536,1.4210854715202004e-14
sine_P(y_x),1,sudden,OOB,69.59299009228428,1.4210854715202004e-14
sine_P(y_x),1,sudden,ESOS_ELM,64.24466290437579,0.015016728343285
sine_P(y_x),1,sudden,improved_UOB,67.62426876846123,0.0
sine_P(y_x),1,sudden,WEOB2,57.07454087884595,0.0
sine_P(y_x),1,sudden,UOB,66.54521874119715,0.0
sine_P(y_x),1,sudden,CSMOTE,65.64973992242585,0.0
sine_P(y_x),1,sudden,RebalanceStream,67.58244906998064,1.4210854715202004e-14
sine_P(y_x),1,incremental,improved_OOB,68.13716292034697,1.4210854715202004e-14
sine_P(y_x),1,incremental,WEOB1,68.20133878552824,0.0
sine_P(y_x),1,incremental,OOB,68.21585163721019,1.4210854715202004e-14
sine_P(y_x),1,incremental,ESOS_ELM,64.08582388223773,0.017566162279025126
sine_P(y_x),1,incremental,improved_UOB,66.64112656951508,0.0
sine_P(y_x),1,incremental,WEOB2,54.083256010429444,0.0
sine_P(y_x),1,incremental,UOB,66.25668354688892,0.0
sine_P(y_x),1,incremental,CSMOTE,64.83150986568225,0.0
sine_P(y_x),1,incremental,RebalanceStream,64.10740900618967,0.0
sine_P(y_x),2,incremental,improved_OOB,68.54082055289254,0.0
sine_P(y_x),2,incremental,WEOB1,68.49456310186943,0.0
sine_P(y_x),2,incremental,OOB,68.62873412712284,1.4210854715202004e-14
sine_P(y_x),2,incremental,ESOS_ELM,63.716500587552616,0.03141096702568063
sine_P(y_x),2,incremental,improved_UOB,68.03459630239777,0.0
sine_P(y_x),2,incremental,WEOB2,56.01097016423587,0.0
sine_P(y_x),2,incremental,UOB,68.02761961941715,0.0
sine_P(y_x),2,incremental,CSMOTE,66.82025334521606,0.0
sine_P(y_x),2,incremental,RebalanceStream,66.08837000088349,0.0
sine_P(y_x),2,sudden,improved_OOB,69.83214516369438,0.0
sine_P(y_x),2,sudden,WEOB1,69.81130274339355,0.0
sine_P(y_x),2,sudden,OOB,69.97478795188472,1.4210854715202004e-14
sine_P(y_x),2,sudden,ESOS_ELM,63.84361399275416,0.30573029016095365
sine_P(y_x),2,sudden,improved_UOB,68.86077814415466,0.0
sine_P(y_x),2,sudden,WEOB2,56.32467009808211,0.0
sine_P(y_x),2,sudden,UOB,68.6127836548033,1.4210854715202004e-14
sine_P(y_x),2,sudden,CSMOTE,68.03537526110287,1.4210854715202004e-14
sine_P(y_x),2,sudden,RebalanceStream,68.81015520641344,0.0
sine_P(x_y),4,incremental,improved_OOB,70.41003315224181,0.0
sine_P(x_y),4,incremental,WEOB1,70.38886759385375,1.4210854715202004e-14
sine_P(x_y),4,incremental,OOB,70.39859358386032,0.0
sine_P(x_y),4,incremental,ESOS_ELM,65.26195499185161,0.049279183896611775
sine_P(x_y),4,incremental,improved_UOB,70.28820910441878,0.0
sine_P(x_y),4,incremental,WEOB2,70.23177167871985,0.0
sine_P(x_y),4,incremental,UOB,70.39859358386033,1.4210854715202004e-14
sine_P(x_y),4,incremental,CSMOTE,70.22891975070885,0.0
sine_P(x_y),4,incremental,RebalanceStream,70.08548806693531,0.0
sine_P(x_y),4,sudden,improved_OOB,70.41624253310604,1.4210854715202004e-14
sine_P(x_y),4,sudden,WEOB1,70.39413885326687,1.4210854715202004e-14
sine_P(x_y),4,sudden,OOB,70.40915997077278,1.4210854715202004e-14
sine_P(x_y),4,sudden,ESOS_ELM,65.44535669600874,0.022250383440288537
sine_P(x_y),4,sudden,improved_UOB,70.29929327034867,0.0
sine_P(x_y),4,sudden,WEOB2,70.27750967966463,1.4210854715202004e-14
