instances,drift,unbalance,type,alg,KappaT
100000,sea_P(y),3,incremental,OOB,72.55943536404162
5000,sea_P(y),3,incremental,ESOS_ELM,-0.3179650238473859
10000,sea_P(y),3,incremental,ESOS_ELM,0.47600158667194725
15000,sea_P(y),3,incremental,ESOS_ELM,22.154173878311813
20000,sea_P(y),3,incremental,ESOS_ELM,32.46763672854992
25000,sea_P(y),3,incremental,ESOS_ELM,39.179289893403855
30000,sea_P(y),3,incremental,ESOS_ELM,43.11663095875737
35000,sea_P(y),3,incremental,ESOS_ELM,46.37741046831956
40000,sea_P(y),3,incremental,ESOS_ELM,48.69316470942487
45000,sea_P(y),3,incremental,ESOS_ELM,50.628174284950546
50000,sea_P(y),3,incremental,ESOS_ELM,66.54361054766734
55000,sea_P(y),3,incremental,ESOS_ELM,66.59322033898304
60000,sea_P(y),3,incremental,ESOS_ELM,66.7180925666199
65000,sea_P(y),3,incremental,ESOS_ELM,66.27142857142857
70000,sea_P(y),3,incremental,ESOS_ELM,65.71702331523475
75000,sea_P(y),3,incremental,ESOS_ELM,66.24730151115374
80000,sea_P(y),3,incremental,ESOS_ELM,66.49656619610835
85000,sea_P(y),3,incremental,ESOS_ELM,66.78289316205219
90000,sea_P(y),3,incremental,ESOS_ELM,66.91075828086505
95000,sea_P(y),3,incremental,ESOS_ELM,66.93609134931549
100000,sea_P(y),3,incremental,ESOS_ELM,67.14444916153681
5000,sea_P(y),3,incremental,improved_UOB,58.4181240063593
10000,sea_P(y),3,incremental,improved_UOB,61.62038873462912
15000,sea_P(y),3,incremental,improved_UOB,63.30448675276263
20000,sea_P(y),3,incremental,improved_UOB,64.18464626191673
25000,sea_P(y),3,incremental,improved_UOB,65.06051134086718
30000,sea_P(y),3,incremental,improved_UOB,65.20219603642208
35000,sea_P(y),3,incremental,improved_UOB,65.75700183654729
40000,sea_P(y),3,incremental,improved_UOB,66.06243099468033
45000,sea_P(y),3,incremental,improved_UOB,66.41361489797737
50000,sea_P(y),3,incremental,improved_UOB,70.66125760649086
55000,sea_P(y),3,incremental,improved_UOB,71.47457627118642
60000,sea_P(y),3,incremental,improved_UOB,72.0056100981767
65000,sea_P(y),3,incremental,improved_UOB,71.83809523809524
70000,sea_P(y),3,incremental,improved_UOB,71.25998083679336
75000,sea_P(y),3,incremental,improved_UOB,71.83137443031902
