instances,drift,unbalance,type,alg,Fscore_0,Fscore_1
55000,sea_P(y),1,incremental,ESOS_ELM,98.02746583924953,95.6306121095061
60000,sea_P(y),1,incremental,ESOS_ELM,98.12295300203729,88.2218776789872
65000,sea_P(y),1,incremental,ESOS_ELM,98.28542431543515,88.01298095293826
70000,sea_P(y),1,incremental,ESOS_ELM,98.36214805230098,88.07708821150977
75000,sea_P(y),1,incremental,ESOS_ELM,98.38979278009097,87.83175611210946
80000,sea_P(y),1,incremental,ESOS_ELM,98.37880249774805,87.57898135755394
85000,sea_P(y),1,incremental,ESOS_ELM,98.39526655181986,87.53595407340131
90000,sea_P(y),1,incremental,ESOS_ELM,98.43900379099225,87.89141037846142
95000,sea_P(y),1,incremental,ESOS_ELM,98.44277168015834,87.96859510043117
100000,sea_P(y),1,incremental,ESOS_ELM,98.41421484134567,87.73393634898284
5000,sea_P(y),1,incremental,improved_UOB,96.21879394829729,96.39689022453965
10000,sea_P(y),1,incremental,improved_UOB,97.17590215022423,97.2743386259471
15000,sea_P(y),1,incremental,improved_UOB,97.72810616732124,97.78190924295224
20000,sea_P(y),1,incremental,improved_UOB,98.06073386453748,98.09299231767987
25000,sea_P(y),1,incremental,improved_UOB,98.24975935659441,98.27090990631456
30000,sea_P(y),1,incremental,improved_UOB,98.3759043519652,98.40057203152642
35000,sea_P(y),1,incremental,improved_UOB,98.5029678548636,98.51696519306158
40000,sea_P(y),1,incremental,improved_UOB,98.62772822203719,98.63773422885801
45000,sea_P(y),1,incremental,improved_UOB,98.71685085053616,98.70890165199675
50000,sea_P(y),1,incremental,improved_UOB,99.40945341373497,99.0712662241572
55000,sea_P(y),1,incremental,improved_UOB,99.47393553480352,98.78624120210563
60000,sea_P(y),1,incremental,improved_UOB,99.54589675200502,96.84290711731555
65000,sea_P(y),1,incremental,improved_UOB,99.49284558580833,96.122036598294
70000,sea_P(y),1,incremental,improved_UOB,99.51680940308327,96.14814259414416
75000,sea_P(y),1,incremental,improved_UOB,99.53348885441052,96.13646478260591
80000,sea_P(y),1,incremental,improved_UOB,99.51592400122324,95.9318578169035
85000,sea_P(y),1,incremental,improved_UOB,99.50734740901193,95.80893396706139
90000,sea_P(y),1,incremental,improved_UOB,99.52455760456607,95.96865219184511
95000,sea_P(y),1,incremental,improved_UOB,99.53110338917844,96.04031216152632
100000,sea_P(y),1,incremental,improved_UOB,99.5320527388959,96.03451486112571
5000,sea_P(y),1,incremental,WEOB2,96.21879394829729,96.39689022453965
10000,sea_P(y),1,incremental,WEOB2,97.17590215022423,97.2743386259471
15000,sea_P(y),1,incremental,WEOB2,97.72810616732124,97.78190924295224
20000,sea_P(y),1,incremental,WEOB2,98.06073386453748,98.09299231767987
25000,sea_P(y),1,incremental,WEOB2,98.24975935659441,98.27090990631456
30000,sea_P(y),1,incremental,WEOB2,98.3759043519652,98.40057203152642
35000,sea_P(y),1,incremental,WEOB2,98.5029678548636,98.51696519306158
40000,sea_P(y),1,incremental,WEOB2,98.62772822203719,98.63773422885801
45000,sea_P(y),1,incremental,WEOB2,98.71685085053616,98.70890165199675
50000,sea_P(y),1,incremental,WEOB2,99.40945341373497,99.0712662241572
55000,sea_P(y),1,incremental,WEOB2,99.47393553480352,98.78624120210563
60000,sea_P(y),1,incremental,WEOB2,99.54589675200502,96.84290711731555
65000,sea_P(y),1,incremental,WEOB2,99.49284558580833,96.122036598294
70000,sea_P(y),1,incremental,WEOB2,99.51680940308327,96.14814259414416
75000,sea_P(y),1,incremental,WEOB2,99.53348885441052,96.13646478260591
80000,sea_P(y),1,incremental,WEOB2,99.51592400122324,95.9318578169035
85000,sea_P(y),1,incremental,WEOB2,99.50734740901193,95.80893396706139
90000,sea_P(y),1,incremental,WEOB2,99.52455760456607,95.96865219184511
95000,sea_P(y),1,incremental,WEOB2,99.53110338917844,96.04031216152632
100000,sea_P(y),1,incremental,WEOB2,99.5320527388959,96.03451486112571
5000,sea_P(y),1,incremental,UOB,96.64292577690205,96.78977691469359
10000,sea_P(y),1,incremental,UOB,97.58734316335051,97.65761409768427
15000,sea_P(y),1,incremental,UOB,98.0671227845107,98.10451013940569
20000,sea_P(y),1,incremental,UOB,98.34006343516259,98.36179229972234
25000,sea_P(y),1,incremental,UOB,98.50523339851242,98.51791194074895
30000,sea_P(y),1,incremental,UOB,98.6230413669696,98.63886681284733
35000,sea_P(y),1,incremental,UOB,98.73454384577971,98.74200517125175
40000,sea_P(y),1,incremental,UOB,98.83860325592289,98.84338650357992
45000,sea_P(y),1,incremental,UOB,98.91171529550579,98.90157063789441
50000,sea_P(y),1,incremental,UOB,99.47350868377768,99.17096491983291
55000,sea_P(y),1,incremental,UOB,99.58335766468254,99.03501424845906
60000,sea_P(y),1,incremental,UOB,99.77976800930723,98.43915106285196
65000,sea_P(y),1,incremental,UOB,99.75988541964588,98.11376262539328
