drift,unbalance,type,alg,F1_0,F1_1,F1_0_std,F1_1_std
sine_P(y),3,sudden,UOB,99.13037490479982,98.60152521613193,0.0,1.4210854715202004e-14
sine_P(y),3,sudden,CSMOTE,98.11108194319175,97.92370188032712,1.4210854715202004e-14,1.4210854715202004e-14
sine_P(y),3,sudden,RebalanceStream,97.1389197466896,97.41099693802764,0.0,0.0
sine_P(y),3,incremental,improved_OOB,99.28577291441562,98.78697498751602,1.4210854715202004e-14,0.0
sine_P(y),3,incremental,WEOB1,99.23789969166708,98.6418671236449,1.4210854715202004e-14,1.4210854715202004e-14
sine_P(y),3,incremental,OOB,99.21295932650955,98.66444939766178,1.4210854715202004e-14,0.0
sine_P(y),3,incremental,ESOS_ELM,94.00238159942622,79.88588245152968,0.04168010977974578,0.02601924894113549
sine_P(y),3,incremental,improved_UOB,98.83725221045503,98.06157849167434,0.0,0.0
sine_P(y),3,incremental,WEOB2,98.75671647489199,97.9197240572577,1.4210854715202004e-14,0.0
sine_P(y),3,incremental,UOB,99.21295932650955,98.66444939766178,1.4210854715202004e-14,0.0
sine_P(y),3,incremental,CSMOTE,98.81876681198739,98.25406262293676,0.0,0.0
sine_P(y),3,incremental,RebalanceStream,98.8224265874442,98.1328864495384,0.0,0.0
sine_P(y),1,sudden,improved_OOB,98.73379556846683,97.51489854631757,1.4210854715202004e-14,0.0
sine_P(y),1,sudden,WEOB1,98.74349894536466,97.23487469417037,0.0,0.0
sine_P(y),1,sudden,OOB,98.88529064099632,96.941864075638,0.0,1.4210854715202004e-14
sine_P(y),1,sudden,ESOS_ELM,94.16070990992786,76.85256496051791,0.3512767718079638,0.21546861520864247
sine_P(y),1,sudden,improved_UOB,97.1935718576103,92.20395845486993,1.4210854715202004e-14,1.4210854715202004e-14
sine_P(y),1,sudden,WEOB2,96.9514535412375,92.12930276902259,0.0,1.4210854715202004e-14
sine_P(y),1,sudden,UOB,98.01880455433135,94.15706560410067,0.0,0.0
sine_P(y),1,sudden,CSMOTE,95.1037404216498,90.95565798916955,0.0,1.4210854715202004e-14
sine_P(y),1,sudden,RebalanceStream,94.87462344631152,94.11945066271572,0.0,0.0
sine_P(y),1,incremental,improved_OOB,99.03347540628508,97.6354689746473,0.0,1.4210854715202004e-14
sine_P(y),1,incremental,WEOB1,99.02810240573226,97.34930857831986,0.0,0.0
sine_P(y),1,incremental,OOB,99.19984614290983,97.09395387623707,1.4210854715202004e-14,1.4210854715202004e-14
sine_P(y),1,incremental,ESOS_ELM,94.80152454378573,77.69834450430776,0.16122670489115964,0.1399776434273041
sine_P(y),1,incremental,improved_UOB,97.9835978128111,92.73186633575952,0.0,0.0
sine_P(y),1,incremental,WEOB2,97.45531083584845,92.54726847542864,1.4210854715202004e-14,1.4210854715202004e-14
