drift,unbalance,type,alg,Time,Mem
sine_P(y_x),4,sudden,WEOB1,11.6202302,587360665.6
sine_P(y_x),4,sudden,OOB,7.590031499999999,483445555.2
sine_P(y_x),4,sudden,ESOS_ELM,288.1050065796,7067862220.8
sine_P(y_x),4,sudden,improved_UOB,5.882085299999999,364333056.0
sine_P(y_x),4,sudden,WEOB2,14.907983699999999,587360665.6
sine_P(y_x),4,sudden,UOB,7.4848186,555745280.0
sine_P(y_x),4,sudden,RebalanceStream,24.821149300000002,2341357977.6
sine_P(y_x),3,sudden,improved_OOB,6.49923,540919398.4
sine_P(y_x),3,sudden,WEOB1,10.1016267,495206772.3636364
sine_P(y_x),3,sudden,OOB,8.613774699999999,598497280.0
sine_P(y_x),3,sudden,ESOS_ELM,287.38618911339995,6509505331.2
sine_P(y_x),3,sudden,improved_UOB,4.9396655,328199447.27272725
sine_P(y_x),3,sudden,WEOB2,14.7697272,495206772.3636364
sine_P(y_x),3,sudden,UOB,6.9568429,457345024.0
sine_P(y_x),3,sudden,RebalanceStream,24.6523861,2722010316.8
sine_P(y_x),3,incremental,improved_OOB,7.1237662,527224832.0
sine_P(y_x),3,incremental,WEOB1,11.207799099999999,492474368.0
sine_P(y_x),3,incremental,OOB,9.264782000000002,553620275.2
sine_P(y_x),3,incremental,ESOS_ELM,266.6537080792,6456401100.8
sine_P(y_x),3,incremental,improved_UOB,5.773357,359549337.6
sine_P(y_x),3,incremental,WEOB2,15.233147299999999,492474368.0
sine_P(y_x),3,incremental,UOB,6.985899399999999,455313408.0
sine_P(y_x),3,incremental,RebalanceStream,24.9952445,2838644736.0
sine_P(y_x),1,sudden,improved_OOB,7.7051052,558503526.4
sine_P(y_x),1,sudden,WEOB1,10.5073157,607314739.2
sine_P(y_x),1,sudden,OOB,8.8371985,572448358.4
sine_P(y_x),1,sudden,ESOS_ELM,308.4234025674,6407752908.8
sine_P(y_x),1,sudden,improved_UOB,3.8005211,328250709.3333333
sine_P(y_x),1,sudden,WEOB2,14.3108592,607314739.2
sine_P(y_x),1,sudden,UOB,4.5743282,272571904.0
sine_P(y_x),1,sudden,RebalanceStream,30.057361399999998,2356888669.090909
sine_P(y_x),1,incremental,improved_OOB,8.9526589,569340313.6
sine_P(y_x),1,incremental,WEOB1,12.6124984,492097536.0
sine_P(y_x),1,incremental,OOB,8.9068796,495908044.8
sine_P(y_x),1,incremental,ESOS_ELM,309.4895090833,7136830668.8
sine_P(y_x),1,incremental,improved_UOB,4.7798191,181257947.42857143
sine_P(y_x),1,incremental,WEOB2,14.1936103,492097536.0
sine_P(y_x),1,incremental,UOB,4.864795099999999,272085902.2222222
sine_P(y_x),1,incremental,RebalanceStream,25.2318199,2447303475.2
sine_P(y_x),2,incremental,improved_OOB,7.168554900000001,548178329.6
sine_P(y_x),2,incremental,WEOB1,10.7966935,645600460.8
sine_P(y_x),2,incremental,OOB,9.7087079,532817510.4
sine_P(y_x),2,incremental,ESOS_ELM,286.1988438984,6727258931.2
sine_P(y_x),2,incremental,improved_UOB,4.9693016000000005,339644006.4
sine_P(y_x),2,incremental,WEOB2,14.884747299999997,645600460.8
