instances,drift,unbalance,type,alg,Fscore_min
15000,sea_P(y),1,incremental,CSMOTE,97.74634855594478
20000,sea_P(y),1,incremental,CSMOTE,97.97317436661697
25000,sea_P(y),1,incremental,CSMOTE,98.1130573248408
30000,sea_P(y),1,incremental,CSMOTE,98.1521955096364
35000,sea_P(y),1,incremental,CSMOTE,98.24061948414281
40000,sea_P(y),1,incremental,CSMOTE,98.3567314166023
45000,sea_P(y),1,incremental,CSMOTE,98.42445882615489
50000,sea_P(y),1,incremental,CSMOTE,98.66117404737385
55000,sea_P(y),1,incremental,CSMOTE,98.47682119205298
60000,sea_P(y),1,incremental,CSMOTE,96.19047619047619
65000,sea_P(y),1,incremental,CSMOTE,95.95124074880276
70000,sea_P(y),1,incremental,CSMOTE,96.31864815932407
75000,sea_P(y),1,incremental,CSMOTE,96.48547328959698
80000,sea_P(y),1,incremental,CSMOTE,96.50696697843101
85000,sea_P(y),1,incremental,CSMOTE,96.48953301127212
90000,sea_P(y),1,incremental,CSMOTE,96.59247045891729
95000,sea_P(y),1,incremental,CSMOTE,96.67145593869733
100000,sea_P(y),1,incremental,CSMOTE,96.87767322497861
5000,sea_P(y),1,incremental,RebalanceStream,96.61116552399608
10000,sea_P(y),1,incremental,RebalanceStream,97.43691241959425
15000,sea_P(y),1,incremental,RebalanceStream,97.7995758218452
20000,sea_P(y),1,incremental,RebalanceStream,98.01773084968623
25000,sea_P(y),1,incremental,RebalanceStream,98.16063519929777
30000,sea_P(y),1,incremental,RebalanceStream,98.26378514756165
35000,sea_P(y),1,incremental,RebalanceStream,98.37066628620344
40000,sea_P(y),1,incremental,RebalanceStream,98.4633835544562
45000,sea_P(y),1,incremental,RebalanceStream,98.51099982114113
50000,sea_P(y),1,incremental,RebalanceStream,98.66186309830161
55000,sea_P(y),1,incremental,RebalanceStream,98.50894632206759
60000,sea_P(y),1,incremental,RebalanceStream,96.72785315243415
65000,sea_P(y),1,incremental,RebalanceStream,96.32867132867135
70000,sea_P(y),1,incremental,RebalanceStream,96.69596847529554
75000,sea_P(y),1,incremental,RebalanceStream,96.93106704438149
80000,sea_P(y),1,incremental,RebalanceStream,96.96504033807146
85000,sea_P(y),1,incremental,RebalanceStream,97.04928664072632
90000,sea_P(y),1,incremental,RebalanceStream,97.1476045416782
95000,sea_P(y),1,incremental,RebalanceStream,97.2319593859543
100000,sea_P(y),1,incremental,RebalanceStream,97.35678066673859
5000,sea_P(y),3,incremental,improved_OOB,78.4105397365066
10000,sea_P(y),3,incremental,improved_OOB,79.51050465670347
15000,sea_P(y),3,incremental,improved_OOB,80.30865545606754
20000,sea_P(y),3,incremental,improved_OOB,80.70367731681918
25000,sea_P(y),3,incremental,improved_OOB,81.05661040787622
30000,sea_P(y),3,incremental,improved_OOB,81.13449222323878
35000,sea_P(y),3,incremental,improved_OOB,81.39329805996474
40000,sea_P(y),3,incremental,improved_OOB,81.50624378384352
45000,sea_P(y),3,incremental,improved_OOB,81.59719651538708
50000,sea_P(y),3,incremental,improved_OOB,82.63093788063337
55000,sea_P(y),3,incremental,improved_OOB,82.3020805187787
60000,sea_P(y),3,incremental,improved_OOB,80.1257422284317
65000,sea_P(y),3,incremental,improved_OOB,80.16396364284444
70000,sea_P(y),3,incremental,improved_OOB,79.72145515668147
75000,sea_P(y),3,incremental,improved_OOB,80.1299990972285
80000,sea_P(y),3,incremental,improved_OOB,80.08103610447868
85000,sea_P(y),3,incremental,improved_OOB,80.2504816955684
90000,sea_P(y),3,incremental,improved_OOB,80.2439780833247
95000,sea_P(y),3,incremental,improved_OOB,80.2350813743219
100000,sea_P(y),3,incremental,improved_OOB,80.21898397874567
5000,sea_P(y),3,incremental,WEOB1,79.08633696563287
10000,sea_P(y),3,incremental,WEOB1,80.21813515825491
15000,sea_P(y),3,incremental,WEOB1,80.82438567413705
20000,sea_P(y),3,incremental,WEOB1,81.07490616330304
25000,sea_P(y),3,incremental,WEOB1,81.35267389024817
30000,sea_P(y),3,incremental,WEOB1,81.39272316713405
35000,sea_P(y),3,incremental,WEOB1,81.60015048437158
40000,sea_P(y),3,incremental,WEOB1,81.69362826015187
45000,sea_P(y),3,incremental,WEOB1,81.76029502151198
50000,sea_P(y),3,incremental,WEOB1,82.71665043816941
55000,sea_P(y),3,incremental,WEOB1,82.29742483483889
60000,sea_P(y),3,incremental,WEOB1,80.08342022940563
65000,sea_P(y),3,incremental,WEOB1,79.93613624268228
70000,sea_P(y),3,incremental,WEOB1,79.44092700991517
75000,sea_P(y),3,incremental,WEOB1,79.78465679676984
80000,sea_P(y),3,incremental,WEOB1,79.76413059111177
85000,sea_P(y),3,incremental,WEOB1,79.92578405554228
90000,sea_P(y),3,incremental,WEOB1,79.9445043934022
95000,sea_P(y),3,incremental,WEOB1,79.94246156612427
100000,sea_P(y),3,incremental,WEOB1,79.95196156925542
5000,sea_P(y),3,incremental,OOB,79.33678756476684
10000,sea_P(y),3,incremental,OOB,80.30511706748597
15000,sea_P(y),3,incremental,OOB,80.9135166093929
20000,sea_P(y),3,incremental,OOB,81.1310553633218
25000,sea_P(y),3,incremental,OOB,81.38908205841447
30000,sea_P(y),3,incremental,OOB,81.42670726402785
35000,sea_P(y),3,incremental,OOB,81.59290930653516
40000,sea_P(y),3,incremental,OOB,81.67771628951836
45000,sea_P(y),3,incremental,OOB,81.72890902412145
50000,sea_P(y),3,incremental,OOB,82.52356780275564
55000,sea_P(y),3,incremental,OOB,81.96765138350487
60000,sea_P(y),3,incremental,OOB,79.28791509756932
65000,sea_P(y),3,incremental,OOB,79.21692011886034
70000,sea_P(y),3,incremental,OOB,78.76502474664152
75000,sea_P(y),3,incremental,OOB,79.19105907397554
80000,sea_P(y),3,incremental,OOB,79.18918918918918
85000,sea_P(y),3,incremental,OOB,79.37448169648145
90000,sea_P(y),3,incremental,OOB,79.41999491223605
95000,sea_P(y),3,incremental,OOB,79.43546591870354
100000,sea_P(y),3,incremental,OOB,79.45574993058035
5000,sea_P(y),3,incremental,ESOS_ELM,0.0
10000,sea_P(y),3,incremental,ESOS_ELM,0.0
15000,sea_P(y),3,incremental,ESOS_ELM,39.139402158796784
20000,sea_P(y),3,incremental,ESOS_ELM,52.695098326649955
25000,sea_P(y),3,incremental,ESOS_ELM,59.778899730830425
30000,sea_P(y),3,incremental,ESOS_ELM,63.924228970740764
35000,sea_P(y),3,incremental,ESOS_ELM,66.78191164057992
40000,sea_P(y),3,incremental,ESOS_ELM,68.76640337997918
45000,sea_P(y),3,incremental,ESOS_ELM,70.21725016361955
50000,sea_P(y),3,incremental,ESOS_ELM,80.86756952317526
55000,sea_P(y),3,incremental,ESOS_ELM,79.83942130623205
60000,sea_P(y),3,incremental,ESOS_ELM,76.6051684522403
65000,sea_P(y),3,incremental,ESOS_ELM,76.33063483042775
70000,sea_P(y),3,incremental,ESOS_ELM,75.85312952289905
75000,sea_P(y),3,incremental,ESOS_ELM,76.18224999312356
80000,sea_P(y),3,incremental,ESOS_ELM,76.17054821686317
85000,sea_P(y),3,incremental,ESOS_ELM,76.44632677661949
90000,sea_P(y),3,incremental,ESOS_ELM,76.50150769653978
95000,sea_P(y),3,incremental,ESOS_ELM,76.47939018335644
100000,sea_P(y),3,incremental,ESOS_ELM,76.53346898987645
5000,sea_P(y),3,incremental,improved_UOB,79.11405506106395
10000,sea_P(y),3,incremental,improved_UOB,80.13118916631402
15000,sea_P(y),3,incremental,improved_UOB,80.76840676997787
20000,sea_P(y),3,incremental,improved_UOB,80.99432585787623
25000,sea_P(y),3,incremental,improved_UOB,81.26195028680687
30000,sea_P(y),3,incremental,improved_UOB,81.31390036980638
35000,sea_P(y),3,incremental,improved_UOB,81.49581720564366
40000,sea_P(y),3,incremental,improved_UOB,81.55616438356164
45000,sea_P(y),3,incremental,improved_UOB,81.60846353528923
50000,sea_P(y),3,incremental,improved_UOB,82.6498422712934
55000,sea_P(y),3,incremental,improved_UOB,82.10017456693971
60000,sea_P(y),3,incremental,improved_UOB,79.43409247757074
65000,sea_P(y),3,incremental,improved_UOB,79.19085312225153
70000,sea_P(y),3,incremental,improved_UOB,78.62721893491126
75000,sea_P(y),3,incremental,improved_UOB,78.95064473099157
